the,4842
to,4399
of,3957
and,3785
her,2281
i,2105
a,2080
in,2039
was,1877
she,1744
that,1639
it,1597
not,1526
you,1444
he,1359
his,1302
be,1280
as,1240
had,1186
with,1148
for,1112
but,1026
is,947
have,886
at,830
mr,805
him,777
on,745
my,725
by,723
all,667
elizabeth,645
they,611
so,607
were,569
which,569
been,536
could,532
from,525
no,517
this,511
very,503
what,492
would,483
your,464
me,462
their,454
them,445
darcy,431
will,429
said,405
such,402
or,398
are,392
when,389
if,383
an,381
there,370
do,369
mrs,354
bennet,339
much,338
more,337
must,325
am,325
any,320
miss,315
bingley,310
than,303
jane,303
who,301
one,291
did,279
we,272
should,259
has,257
know,245
other,239
how,237
herself,236
though,233
before,232
can,230
never,230
well,230
only,226
think,222
may,219
sister,217
soon,216
now,215
some,212
good,207
after,205
most,205
might,205
time,200
wickham,199
lady,198
own,196
little,192
collins,190
without,185
nothing,185
every,185
again,182
being,182
then,177
lydia,176
make,174
shall,165
illustration,163
dear,163
say,160
first,160
man,156
see,156
family,153
great,148
too,146
two,145
into,145
out,143
however,137
mother,137
day,136
ever,136
father,135
about,134
himself,133
young,133
catherine,132
made,132
give,131
us,128
hope,126
always,125
its,125
away,124
many,122
long,120
last,119
letter,118
cannot,118
up,116
way,116
friend,115
thought,112
enough,111
room,109
go,107
house,107
sure,106
felt,106
replied,103
saw,102
love,102
indeed,99
wish,99
come,99
quite,98
better,98
even,97
myself,97
manner,97
where,97
gardiner,97
lizzy,97
till,95
over,95
pleasure,94
came,94
often,93
having,93
does,92
done,92
feelings,92
oh,91
really,91
cried,91
believe,90
project,89
chapter,89
like,89
whom,89
subject,88
longbourn,88
aunt,88
gutenberg,88
charlotte,87
perhaps,87
heard,87
daughter,84
take,83
happy,83
ladies,83
anything,82
these,81
while,81
less,81
whole,80
our,80
down,79
ill,79
sir,79
brother,79
seen,78
morning,78
yet,78
still,77
certainly,77
sisters,77
just,77
let,77
place,77
looked,76
something,75
yes,75
same,74
both,74
evening,74
here,74
upon,74
world,74
few,73
netherfield,73
therefore,73
present,72
hear,72
kind,72
nor,72
next,72
kitty,72
happiness,72
least,72
half,72
added,72
told,71
moment,71
lucas,71
speak,70
tell,70
towards,70
attention,70
found,70
went,70
character,69
uncle,69
colonel,68
seemed,67
between,67
town,67
work,67
opinion,67
home,67
received,66
marriage,66
left,66
each,66
almost,66
those,65
woman,65
answer,65
together,65
part,65
leave,64
because,64
three,64
either,64
conversation,63
acquaintance,62
rather,62
others,62
far,62
off,62
gone,62
once,62
means,62
given,61
immediately,61
find,61
passed,61
affection,61
certain,60
everything,60
whose,60
married,60
party,60
possible,60
coming,60
another,60
whether,59
london,59
life,59
look,59
began,59
since,59
seeing,59
pride,58
knew,58
mind,58
meryton,57
general,57
going,57
side,57
known,56
friends,55
person,55
took,55
pemberley,55
behaviour,55
copyright,54
visit,54
eyes,54
able,54
return,54
against,54
gave,54
perfectly,53
course,53
reason,53
people,53
word,53
get,53
why,53
continued,52
husband,52
daughters,51
walk,51
idea,51
wife,50
cousin,50
regard,50
hardly,50
rosings,49
yourself,49
agreeable,49
right,49
suppose,49
sense,48
settled,48
read,48
object,48
want,48
business,48
point,48
girls,47
manners,47
country,47
impossible,47
george,47
back,46
william,46
heart,46
best,46
short,46
marry,46
called,46
walked,46
ought,45
through,45
help,45
spoke,45
scarcely,45
returned,45
longer,44
civility,44
carriage,44
else,43
turned,43
terms,43
mary,43
de,43
rest,43
expected,43
power,42
doubt,42
years,42
honour,42
ladyship,42
girl,41
under,41
talking,41
sometimes,41
bourgh,41
feel,41
assure,41
wished,41
hertfordshire,41
likely,41
engaged,40
account,40
everybody,40
stay,40
gentleman,40
met,40
gentlemen,40
entered,40
convinced,40
poor,40
brought,40
asked,40
men,39
set,39
neither,39
former,39
different,39
write,39
dare,39
pleased,39
forster,39
spirits,39
near,39
